name	electricity	heat
Materiaalitekniikka	558.784783896	11746.985663
TKK Päärakennus  Otakaari 1  Espoo	3200.02270663	21223.9819159
Maarintalo	1608.11902655	1941.62479339
Tietotekniikan talo  Konemiehentie 2  Es	2202.94930477	13150.8846736
Saha, Konemiehentie 1 N12	147.10031348	0.0
TKK Meritekniikanlaboratorio Tietotie 1	1813.51110326	7672.53755548
TKK Puunjalostusos. Vuorimiehentie 1 Esp	2924.47368421	10833.8762215
TKK Puu 2 Tekniikantie 3  Espoo	1398.7195122	2700.31796502
TKK Nano  Puumiehenkuja 2  Espoo	6974.6978852	8880.87248322
Lämpömiehenkuja 2	1718.24546952	5966.69329073
TKK Keskusväestön suoja 1 Otakaari 26 Es	1657.5181388	0.0
TKK Energia- ja virt.tekn. Sähkömiehent	998.2907743	7236.45222506
Kirjasto Otaniementie 9	4126.41281823	3899.76038339
TKK Rak./yhdyskunta tekn.Rakentajanauki	0.0	6028.9334471
TKK/VTT Tekn. fysiikan os  Rakentajanauk	4187.58183306	11021.2370778
TKK Tuotanto-/mater.tekn./Puumiehenkj.3	1275.48622366	4787.21682848
Rakennus- ja ympäristötekniikka N12 S	3943.42857143	0.0
Betonimiehenkuja 3	781.466227348	1457.89288775
Betoniemiehenkuja 5 (KV)	1138.77295492	3042.8802589
Betonimiehenkuja 1	320.945561139	0.0
TKK/Radiotutk.as. Metsähovintie 113  Kir	1351.63980263	0.0
TKK Kuljetus/konerak.tekn. Puumiehenkj 5	4942.40400668	0.0
TKK  Kemian tekniikka Kemistintie 1  Esp	4304.05458861	24454.3434555
TKK/VTT Sähkötekn. Otakaari 5  Espoo	6386.47476341	29354.7115325
TKK Konetekniikan osasto  Otakaari 4	1324.1308582	2716.52892562
TKK Tuotantotal. os.   /Otaniementie 17	5611.17647059	10027.5387263
Laivatekniikka	108.587848933	0.0
Konetekniikka 3	0.0	8663.93442623
Metallimiehenkuja  10 (KV)	344.710355987	882.200647249
TKK Lämpömiehenkuja 3  02150 Espoo	246.706258816	1923.33288273